"sensor_id","building","address","gfstandard_id","acronym_n","error","created_at","reference_date"
976,124,Grünrockweg 4,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:32:53.166 +0200,2025-03-31 23:59:59.000
989,129,Grünrockweg 8,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:35:55.882 +0200,2025-03-31 23:59:59.000
1017,115,Klemkestr. 20,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:39:10.214 +0200,2025-03-31 23:59:59.000
1058,120,Büchsenweg 9,6,e_hw(n)_hm,Data is empty.,2025-05-02 21:46:21.180 +0200,2025-03-31 23:59:59.000
1074,203,Breitkopfstr. 134,6,e_hw(n)_hm,Data is empty.,2025-05-02 21:50:26.705 +0200,2025-03-31 23:59:59.000
1186,138,Alfred-Randt-Str. 14,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 22:09:47.828 +0200,2025-03-31 23:59:59.000
1202,239,Murtzaner Ring 18,5,e_hc(n)_hm,Data is empty.,2025-05-02 22:12:55.315 +0200,2025-03-31 23:59:59.000
1458,166,Raoul-Wallenberg-Str. 45,4,e_g_hm,Data is empty.,2025-05-02 22:47:59.598 +0200,2025-03-31 23:59:59.000
1537,116,Breitkopfstr. 103,6,e_hw(n)_hm,Data is empty.,2025-05-02 23:02:28.035 +0200,2025-03-31 23:59:59.000
621,116,Breitkopfstr. 103,5,e_hc(n)_hm,Data is empty.,2025-05-02 20:47:22.174 +0200,2025-03-31 23:59:59.000
672,278,Alte Hellersdorfer Str. 138,4,e_g_hm,Data is empty.,2025-05-02 20:58:46.146 +0200,2025-03-31 23:59:59.000
703,209,Breitkopfstr. 107,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:06:59.343 +0200,2025-03-31 23:59:59.000
904,119,Breitkopfstr. 130,5,e_hc(n)_hm,Data is empty.,2025-05-02 21:25:31.052 +0200,2025-03-31 23:59:59.000
954,157,Alfred-Randt-Str. 20,4,e_g_hm,No values after removing drops.,2025-05-02 21:28:35.259 +0200,2025-03-31 23:59:59.000
1325,201,Breitkopfstr. 121,5,e_hc(n)_hm,Data is empty.,2025-05-02 22:30:22.937 +0200,2025-03-31 23:59:59.000
1566,205,Lea-Grundig-Str. 18,4,e_g_hm,Data is empty.,2025-05-02 23:06:46.899 +0200,2025-03-31 23:59:59.000
1574,249,Blumberger Damm 6,4,e_g_hm,Data is empty.,2025-05-02 23:07:46.944 +0200,2025-03-31 23:59:59.000
1685,144,Neumarkplan 9C,4,e_g_hm,No values after removing drops.,2025-05-02 23:32:46.966 +0200,2025-03-31 23:59:59.000
1698,182,Breitkopfstr. 101,6,e_hw(n)_hm,Data is empty.,2025-05-02 23:36:55.622 +0200,2025-03-31 23:59:59.000
1757,165,Lampesteig 1,5,e_hc(n)_hm,Data is empty.,2025-05-02 23:49:15.648 +0200,2025-03-31 23:59:59.000
1779,209,Breitkopfstr. 107,133,v_g_gm,Data is empty.,2025-05-02 23:54:26.859 +0200,2025-03-31 23:59:59.000
1782,253,Murtzaner Ring 22,5,e_hc(n)_hm,Data is empty.,2025-05-02 23:55:26.931 +0200,2025-03-31 23:59:59.000
1843,222,Murtzaner Ring 26,5,e_hc(n)_hm,Data is empty.,2025-05-03 00:09:15.088 +0200,2025-03-31 23:59:59.000
1878,281,Forkenzeile 11,4,e_g_hm,Data is empty.,2025-05-03 00:15:23.878 +0200,2025-03-31 23:59:59.000
2195,162,Jerichower Str. 4,5,e_hc(n)_hm,No complete data. ,2025-05-03 00:25:23.787 +0200,2025-03-31 23:59:59.000
2306,5,Raderberger Straße 154-160,133,v_g_gm,No values greater than 0.,2025-05-03 00:52:38.680 +0200,2025-03-31 23:59:59.000
2886,262,Archenholdstr. 46,6,e_hw(n)_hm,Data is empty.,2025-05-03 01:05:54.532 +0200,2025-03-31 23:59:59.000
3026,202,Klemkestr. 16,133,v_g_gm,Data is empty.,2025-05-03 01:11:56.169 +0200,2025-03-31 23:59:59.000
708,201,Breitkopfstr. 121,133,v_g_gm,Data is empty.,2025-05-02 21:07:59.388 +0200,2025-03-31 23:59:59.000
961,142,Neumarkplan 10A,,,No values after removing drops.,2025-05-02 21:29:50.062 +0200,2025-03-31 23:59:59.000
1350,275,Barther Str. 58,4,e_g_hm,Data is empty.,2025-05-02 22:34:30.859 +0200,2025-03-31 23:59:59.000
1606,258,An der Kappe 56D,4,e_g_hm,Data is empty.,2025-05-02 23:11:58.795 +0200,2025-03-31 23:59:59.000
1632,198,Residenzstr. 147,6,e_hw(n)_hm,No complete data. ,2025-05-02 23:16:15.781 +0200,2025-03-31 23:59:59.000
1640,115,Klemkestr. 20,6,e_hw(n)_hm,Data is empty.,2025-05-02 23:18:18.834 +0200,2025-03-31 23:59:59.000
1647,144,Neumarkplan 9C,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 23:21:23.571 +0200,2025-03-31 23:59:59.000
1701,264,Murtzaner Ring 31,5,e_hc(n)_hm,Data is empty.,2025-05-02 23:37:55.669 +0200,2025-03-31 23:59:59.000
1739,136,Lincolnstr. 60,4,e_g_hm,No values after removing drops.,2025-05-02 23:46:12.798 +0200,2025-03-31 23:59:59.000
1800,111,Weverstr. 11A,6,e_hw(n)_hm,No values greater than 0.,2025-05-03 00:01:05.555 +0200,2025-03-31 23:59:59.000
1819,107,Stavanger Str. 9,133,v_g_gm,No values greater than 0.,2025-05-03 00:06:12.284 +0200,2025-03-31 23:59:59.000
1903,137,Stendaler Str. 142,6,e_hw(n)_hm,No complete data. ,2025-05-03 00:16:35.343 +0200,2025-03-31 23:59:59.000
1910,137,Stendaler Str. 142,5,e_hc(n)_hm,No complete data. ,2025-05-03 00:20:47.184 +0200,2025-03-31 23:59:59.000
2888,255,Rosenfelder Str. 20,5,e_hc(n)_hm,Data is empty.,2025-05-03 01:06:54.622 +0200,2025-03-31 23:59:59.000
3387,250,Rüdickenstr. 10,4,e_g_hm,Data is empty.,2025-05-03 01:16:11.829 +0200,2025-03-31 23:59:59.000
35,101,Lincolnstr. 16,,,No values after removing drops.,2025-05-02 18:06:27.001 +0200,2025-03-31 23:59:59.000
948,101,Lincolnstr. 16,5,e_hc(n)_hm,No values greater than 0.,2025-05-02 21:27:33.898 +0200,2025-03-31 23:59:59.000
1722,114,Armbrustweg 17,6,e_hw(n)_hm,Data is empty.,2025-05-02 23:42:04.242 +0200,2025-03-31 23:59:59.000
1742,202,Klemkestr. 16,5,e_hc(n)_hm,Data is empty.,2025-05-02 23:47:12.850 +0200,2025-03-31 23:59:59.000
1805,209,Breitkopfstr. 107,6,e_hw(n)_hm,Data is empty.,2025-05-03 00:02:05.602 +0200,2025-03-31 23:59:59.000
1822,207,Klemkestr. 17,5,e_hc(n)_hm,Data is empty.,2025-05-03 00:07:12.333 +0200,2025-03-31 23:59:59.000
2209,162,Jerichower Str. 4,6,e_hw(n)_hm,No complete data. ,2025-05-03 00:33:16.013 +0200,2025-03-31 23:59:59.000
2895,294,Rosenfelder Str. 21,5,e_hc(n)_hm,Data is empty.,2025-05-03 01:07:54.669 +0200,2025-03-31 23:59:59.000
3396,247,Alexandrinenstr. 100,5,e_hc(n)_hm,Data is empty.,2025-05-03 01:17:11.890 +0200,2025-03-31 23:59:59.000
1731,269,Breitkopfstr. 105,5,e_hc(n)_hm,Data is empty.,2025-05-02 23:43:04.336 +0200,2025-03-31 23:59:59.000
2912,298,Barther Str. 30,4,e_g_hm,Data is empty.,2025-05-03 01:08:54.733 +0200,2025-03-31 23:59:59.000
